account_number,issue_date,company,previous_charges,previous_payment,previous_charges_outstanding,current_charges,payment_due_date,__filename,number,subtotal,name,period,charge
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55957050,78.0,"HKBN mobile services (15GB, Unlimited mins)",2025/06/01 - 2025/06/30,108.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55957050,78.0,HKBN mobile services Disc.,2025/06/01 - 2025/06/30,-30.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55957050,78.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55957050,78.0,Administration Fee Disc.,2025/06/01 - 2025/06/30,-18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55957156,78.0,"HKBN mobile services (15GB, Unlimited mins)",2025/06/01 - 2025/06/30,108.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55957156,78.0,HKBN mobile services Disc.,2025/06/01 - 2025/06/30,-30.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55957156,78.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55957156,78.0,Administration Fee Disc.,2025/06/01 - 2025/06/30,-18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55957212,78.0,"HKBN mobile services (15GB, Unlimited mins)",2025/06/01 - 2025/06/30,108.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55957212,78.0,HKBN mobile services Disc.,2025/06/01 - 2025/06/30,-30.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55957212,78.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55957212,78.0,Administration Fee Disc.,2025/06/01 - 2025/06/30,-18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55964431,48.0,"HKBN mobile services (6GB, 3000 mins)",2025/06/01 - 2025/06/30,78.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55964431,48.0,HKBN mobile services Disc.,2025/06/01 - 2025/06/30,-30.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55964431,48.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55964431,48.0,Administration Fee Disc.,2025/06/01 - 2025/06/30,-18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55964604,86.0,HKBN mobile services (2000 mins Local Airtime),2025/06/01 - 2025/06/30,68.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,55964604,86.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,57440417,48.0,"HKBN mobile services (6GB, 3000 mins)",2025/06/01 - 2025/06/30,78.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,57440417,48.0,HKBN mobile services Disc.,2025/06/01 - 2025/06/30,-30.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,57440417,48.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,57440417,48.0,Administration Fee Disc.,2025/06/01 - 2025/06/30,-18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91359755,136.0,HKBN mobile services (0 mins Local Airtime),2025/06/01 - 2025/06/30,118.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91359755,136.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91651371,86.0,HKBN mobile services (2000 mins Local Airtime),2025/06/01 - 2025/06/30,68.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91651371,86.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91651372,86.0,HKBN mobile services (2000 mins Local Airtime),2025/06/01 - 2025/06/30,68.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91651372,86.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91651376,86.0,HKBN mobile services (2000 mins Local Airtime),2025/06/01 - 2025/06/30,68.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91651376,86.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91651378,86.0,HKBN mobile services (2000 mins Local Airtime),2025/06/01 - 2025/06/30,68.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91651378,86.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91651391,86.0,HKBN mobile services (2000 mins Local Airtime),2025/06/01 - 2025/06/30,68.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91651391,86.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91651396,86.0,HKBN mobile services (2000 mins Local Airtime),2025/06/01 - 2025/06/30,68.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91651396,86.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91662697,86.0,HKBN mobile services (2000 mins Local Airtime),2025/06/01 - 2025/06/30,68.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91662697,86.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91702956,96.0,"HKBN mobile services (6GB, 3000 mins)",2025/06/01 - 2025/06/30,78.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,91702956,96.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,92406876,126.0,"HKBN mobile services (15GB, Unlimited mins)",2025/06/01 - 2025/06/30,108.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,92406876,126.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,93169358,136.0,"HKBN mobile services (5GB, 2000 mins)",2025/06/01 - 2025/06/30,118.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,93169358,136.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,93831263,78.0,"HKBN mobile services (15GB, Unlimited mins)",2025/06/01 - 2025/06/30,108.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,93831263,78.0,HKBN mobile services Disc.,2025/06/01 - 2025/06/30,-30.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,93831263,78.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,93831263,78.0,Administration Fee Disc.,2025/06/01 - 2025/06/30,-18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,94328789,136.0,"HKBN mobile services (5GB, 2000 mins)",2025/06/01 - 2025/06/30,118.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,94328789,136.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,94523119,78.0,"HKBN mobile services (15GB, Unlimited mins)",2025/06/01 - 2025/06/30,108.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,94523119,78.0,HKBN mobile services Disc.,2025/06/01 - 2025/06/30,-30.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,94523119,78.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,94523119,78.0,Administration Fee Disc.,2025/06/01 - 2025/06/30,-18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,94523127,78.0,"HKBN mobile services (15GB, Unlimited mins)",2025/06/01 - 2025/06/30,108.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,94523127,78.0,HKBN mobile services Disc.,2025/06/01 - 2025/06/30,-30.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,94523127,78.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,94523127,78.0,Administration Fee Disc.,2025/06/01 - 2025/06/30,-18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,96835308,136.0,"HKBN mobile services (5GB, 2000 mins)",2025/06/01 - 2025/06/30,118.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,96835308,136.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,97382541,126.0,"HKBN mobile services (15GB, Unlimited mins)",2025/06/01 - 2025/06/30,108.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,97382541,126.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,98455776,48.0,"HKBN mobile services (6GB, 3000 mins)",2025/06/01 - 2025/06/30,78.0
